UniqueID,Distillery Name,Brand,Status,Region,Type,Founded,Owner,Parent Company,Full Address,Postcode,Water Source,Wash Stills,Spirit Stills,Total Stills,Still Type,Washbacks,Washback Material,Mash Tun,Milling Equipment,Heating Method,Annual Capacity (LPA),Core Style,Peated,Visitor Centre,Tours,Website,Latitude,Longitude,Confidence,EvidenceStrength,SourceCount,LastVerified,QAStatus,SourceURLs,ResearchNeeded,Notes,SourceFile,EntityClass,ReleaseStatus
DIST-HLD-0011,Glencadam,Glencadam,Operating,Highlands,Malt,1825,Angus Dundee,Angus Dundee,,,,2,2,4,Traditional,,,,,Steam,1400000,Floral,No,Yes,Yes,https://www.glencadamwhisky.com,,,4,,2,2026-07-01,,Official|SWA,Verify capacity,,SWRD_Highlands_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-HLD-0012,Glen Garioch,Glen Garioch,Operating,Highlands,Malt,1797,Beam Suntory,Suntory Global Spirits,,,,2,2,4,Traditional,,,,,Steam,1400000,"Malty, spicy",Partial,Yes,Yes,https://www.glengarioch.com,,,4,,2,2026-07-01,,Official|SWA,Verify equipment,,SWRD_Highlands_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-HLD-0013,Glen Ord,The Singleton of Glen Ord,Operating,Highlands,Malt,1838,Diageo,Diageo,,,,7,7,14,Traditional,,,,,Steam,11000000,"Malty, fruity",No,Yes,Yes,https://www.malts.com,,,4,,2,2026-07-01,,Official|SWA,Verify still count,,SWRD_Highlands_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-HLD-0014,Glenmorangie,Glenmorangie,Operating,Highlands,Malt,1843,Glenmorangie Co.,LVMH,,,Tarlogie Springs,6,6,12,Traditional,,,,,Steam,6500000,"Elegant, citrus",No,Yes,Yes,https://www.glenmorangie.com,,,5,,2,2026-07-01,,Official|SWA,Confirm latest capacity,,SWRD_Highlands_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-HLD-0015,Loch Lomond,Loch Lomond,Operating,Highlands,Malt & Grain,1964,Loch Lomond Group,Loch Lomond Group,,,Loch Lomond,6,6,12,Traditional & Lomond,,,,,Steam,18000000,Versatile,Variable,Yes,Yes,https://www.lochlomondwhiskies.com,,,4,,2,2026-07-01,,Official|SWA,Separate malt/grain details later,Produces multiple brands.,SWRD_Highlands_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-HLD-0016,Oban,Oban,Operating,Highlands,Malt,1794,Diageo,Diageo,,,,2,2,4,Traditional,,,,,Steam,870000,"Maritime, fruity",No,Yes,Yes,https://www.malts.com,,,5,,2,2026-07-01,,Official|SWA,Verify technical data,,SWRD_Highlands_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-HLD-0017,Pulteney,Old Pulteney,Operating,Highlands,Malt,1826,International Beverage,International Beverage,,,,2,2,4,Traditional,,,,,Steam,1800000,"Maritime, briny",No,Yes,Yes,https://www.oldpulteney.com,,,4,,2,2026-07-01,,Official website | SWA,Verify water source and coordinates,,SWRD_Highlands_v0_1_Batch3.csv,Physical Distillery Row,Research RC1
DIST-HLD-0018,Royal Brackla,Royal Brackla,Operating,Highlands,Malt,1812,John Dewar & Sons,Bacardi,,,Cawdor Burn,3,3,6,Traditional,,,,,Steam,4100000,"Fruity, spicy",No,No,No,https://www.royalbrackla.com,,,4,,2,2026-07-01,,Official website | SWA,Verify technical details,,SWRD_Highlands_v0_1_Batch3.csv,Physical Distillery Row,Research RC1
DIST-HLD-0019,Royal Lochnagar,Royal Lochnagar,Operating,Highlands,Malt,1845,Diageo,Diageo,,,Scarnock Springs,2,2,4,Traditional,,,,,Steam,450000,"Delicate, nutty",No,Yes,Yes,https://www.malts.com,,,4,,2,2026-07-01,,Official website | SWA,Verify production figures,,SWRD_Highlands_v0_1_Batch3.csv,Physical Distillery Row,Research RC1
DIST-HLD-0020,Teaninich,Teaninich,Operating,Highlands,Malt,1817,Diageo,Diageo,,,Alness River,6,6,12,Traditional,,,,Mash filter,Steam,10300000,"Clean, grassy",No,No,No,https://www.malts.com,,,4,,2,2026-07-01,,Official website | SWA,Confirm mash filter specification,,SWRD_Highlands_v0_1_Batch3.csv,Physical Distillery Row,Research RC1
DIST-HLD-0021,Tomatin,Tomatin,Operating,Highlands,Malt,1897,Tomatin Distillery Co.,Takara Shuzo,,,Alt-na-Frith Burn,6,6,12,Traditional,,,,,Steam,5600000,"Soft, fruity",Partial,Yes,Yes,https://tomatin.com,,,4,,2,2026-07-01,,Official website | SWA,Verify still count after latest upgrades,,SWRD_Highlands_v0_1_Batch3.csv,Physical Distillery Row,Research RC1
DIST-HLD-0022,Tullibardine,Tullibardine,Operating,Highlands,Malt,1949,Tullibardine Distillery Ltd.,Picard Vins & Spiritueux,,,Danny Burn,2,2,4,Traditional,,,,,Steam,2700000,"Malty, creamy",No,Yes,Yes,https://www.tullibardine.com,,,4,,2,2026-07-01,,Official website | SWA,Verify production data,,SWRD_Highlands_v0_1_Batch3.csv,Physical Distillery Row,Research RC1
DIST-HLD-0023,Wolfburn,Wolfburn,Operating,Highlands,Malt,2013,Wolfburn Distillery Ltd.,Wolfburn Distillery Ltd.,,,Burn of Wolf,1,1,2,Traditional,,,,,Steam,125000,"Light, coastal",No,Yes,Yes,https://wolfburn.com,,,4,,2,2026-07-01,,Official website | SWA,Verify capacity and coordinates,,SWRD_Highlands_v0_1_Batch3.csv,Physical Distillery Row,Research RC1
DIST-HLD-0024,Torabhaig,Torabhaig,Operating,Highlands,Malt,2017,Mossburn Distillers,Marussia Beverages,,,Allt Breacach,2,2,4,Traditional,,,,,Steam,500000,"Heavily peated, maritime",Yes,Yes,Yes,https://torabhaig.com,,,4,,2,2026-07-01,,Official website | SWA,Region taxonomy review (Skye/Islands vs Highlands dataset planning),Held temporarily pending Islands separation.,SWRD_Highlands_v0_1_Batch3.csv,Physical Distillery Row,Research RC1
DIST-HLD-0025,AnCnoc (Knockdhu),anCnoc,Operating,Highlands,Malt,1894,Inver House Distillers,International Beverage,,,Knock Burn,2,2,4,Traditional,,,,,Steam,1800000,"Fresh, honeyed",Partial,Yes,Yes,https://ancnoc.com,,,4,,2,2026-07-01,,Official|SWA,Verify equipment details,"Distillery name Knockdhu, brand anCnoc.",SWRD_Highlands_v0_1_Batch4.csv,Physical Distillery Row,Research RC1
DIST-HLD-0026,Ben Nevis,Ben Nevis,Operating,Highlands,Malt,1825,Ben Nevis Distillery Ltd.,Nikka Whisky,,,Allt a'Mhuilinn,2,2,4,Traditional,,,,,Steam,2000000,"Robust, oily",Partial,Yes,Yes,https://www.bennevisdistillery.com,,,4,,2,2026-07-01,,Official|SWA,Verify capacity,,SWRD_Highlands_v0_1_Batch4.csv,Physical Distillery Row,Research RC1
DIST-HLD-0027,Brackla (Cawdor),Cawdor,Closed,Highlands,Malt,1812,,,,,,0,0,0,,,,,,,Historic,No,No,No,,,,2,1,,2026-07-01,Historic references,,Historic precursor / research record,Optional historical dataset.,,SWRD_Highlands_v0_1_Batch4.csv,Historic,Research RC1
DIST-HLD-0028,Dornoch,Dornoch,Operating,Highlands,Malt,2017,Dornoch Distillery Co.,Thompson Bros.,,,,1,1,2,Traditional,,,,Direct Fired,20000,"Craft, fruity",Variable,Yes,Yes,https://www.dornochdistillery.com,,,4,2,,2026-07-01,Official|SWA,,Verify production details,Small-scale craft distillery.,,SWRD_Highlands_v0_1_Batch4.csv,Physical Distillery Row,Research RC1
DIST-HLD-0029,Nc'nean,Nc'nean,Operating,Highlands,Malt,2017,Nc'nean Distillery,Nc'nean Distillery,,,Drimnin Burn,1,1,2,Traditional,,,,,Steam,450000,"Organic, fruity",No,Yes,Yes,https://ncnean.com,,,5,,2,2026-07-01,,Official|SWA,Verify latest capacity,Organic production.,SWRD_Highlands_v0_1_Batch4.csv,Physical Distillery Row,Research RC1
DIST-HLD-0030,Uile-bheist,Uile-bheist,Operating,Highlands,Malt,2023,Uile-bheist Distillery & Brewery,Uile-bheist,,,,1,1,2,Traditional,,,,,Steam,,New make,Variable,Yes,Yes,https://www.uilebheist.com,,,4,,2,2026-07-01,,Official|SWA,Expand as production matures,Recently opened.,SWRD_Highlands_v0_1_Batch4.csv,Physical Distillery Row,Research RC1
DIST-HLD-0031,Glenglassaugh,Glenglassaugh,Operating,Highlands,Malt,1875,Brown-Forman,Brown-Forman,,,Glassaugh Burn,2,2,4,Traditional,,,,,Steam,1300000,"Coastal, fruity",Partial,Yes,Yes,https://www.glenglassaugh.com,,,4,,2,2026-07-01,,Official website | SWA,Verify technical equipment,,SWRD_Highlands_v0_1_Batch5.csv,Physical Distillery Row,Research RC1
DIST-HLD-0032,Glenturret,The Glenturret,Operating,Highlands,Malt,1763,The Glenturret Ltd.,Lalique Group,,,Turret Burn,2,2,4,Traditional,,,,,Steam,1200000,"Rich, cereal",Partial,Yes,Yes,https://theglenturret.com,,,5,,2,2026-07-01,,Official website | SWA,Verify current capacity,Oldest working distillery claim.,SWRD_Highlands_v0_1_Batch5.csv,Physical Distillery Row,Research RC1
DIST-HLD-0033,Lochlea,Lochlea,Operating,Highlands,Malt,2018,Lochlea Distillery,Lochlea Distillery,,,,1,1,2,Traditional,,,,,Steam,200000,"Fresh, fruity",No,Yes,Yes,https://www.lochleadistillery.com,,,4,,2,2026-07-01,,Official website | SWA,Review regional classification (Lowlands vs Highlands),Hold for taxonomy reconciliation.,SWRD_Highlands_v0_1_Batch5.csv,Physical Distillery Row,Research RC1
DIST-HLD-0034,Arbikie,Arbikie,Operating,Highlands,Malt,2014,Arbikie Distillery,Arbikie Highland Estate,,,Estate borehole,1,1,2,Traditional,,,,,Steam,,Farm-to-bottle,No,Yes,Yes,https://arbikie.com,,,4,,2,2026-07-01,,Official website | SWA,Expand whisky production details,Produces spirits beyond whisky.,SWRD_Highlands_v0_1_Batch5.csv,Physical Distillery Row,Research RC1
DIST-HLD-0035,Lindores Abbey,Lindores Abbey,Operating,Highlands,Malt,2017,Lindores Abbey Distillery,Lindores Abbey Distillery,,,,2,2,4,Traditional,,,,,Steam,500000,"Malty, fruity",No,Yes,Yes,https://lindoresabbeydistillery.com,,,4,,2,2026-07-01,,Official website | SWA,Review regional classification (Lowlands vs Highlands),Taxonomy review required.,SWRD_Highlands_v0_1_Batch5.csv,Physical Distillery Row,Research RC1
DIST-HLD-0036,GlenWyvis,GlenWyvis,Operating,Highlands,Malt,2017,GlenWyvis Distillery,GlenWyvis Distillery,,,Ben Wyvis water,1,1,2,Traditional,,,,,Steam,150000,"Light, fruity",No,Yes,Yes,https://glenwyvis.com,,,4,,2,2026-07-01,,Official website | SWA,Verify latest production figures,Community-owned distillery.,SWRD_Highlands_v0_1_Batch5.csv,Physical Distillery Row,Research RC1
DIST-HLD-0037,Aultmore?,,Research Hold,Highlands,,,,,,,,,,,,,,,,,,,,,,,,1,0,,2026-07-01,,,Removed - not Highland (Speyside),Placeholder to document reconciliation.,,SWRD_Highlands_v0_1_Batch6_QA.csv,QA/Research Marker,Research RC1
DIST-HLD-0038,Brora,Brora,Operating,Highlands,Malt,1819,Diageo,Diageo,,,Clynemilton Burn,2,2,4,Traditional,,,,,Steam,800000,"Waxy, coastal",Partial,Yes,Yes,https://www.brora.com,,,5,,2,2026-07-01,,Official website | SWA,Verify latest annual capacity after reopening,Reopened in 2021.,SWRD_Highlands_v0_1_Batch6_QA.csv,Physical Distillery Row,Research RC1
DIST-HLD-0039,Dalwhinnie,Distillery QA,Duplicate Review,Highlands,,,,,,,,,,,,,,,,,,,,,,,,5,0,,2026-07-01,,,Duplicate detection,Existing record retained; QA marker only.,,SWRD_Highlands_v0_1_Batch6_QA.csv,QA/Research Marker,Research RC1
DIST-HLD-0040,Glencadam,10 Year Old,Brand Seed,Highlands,Malt,,Angus Dundee,Angus Dundee,,,,,,,,,,,,,,,,,,,,4,1,,2026-07-01,Official website,,Expand brand table in consolidation,Illustrative brand seed.,,SWRD_Highlands_v0_1_Batch6_QA.csv,Brand/Expression Seed,Research RC1
DIST-HLD-0041,Tomatin,Legacy,Brand Seed,Highlands,Malt,,Tomatin Distillery Co.,Takara Shuzo,,,,,,,,,,,,,,,,,,,,4,1,,2026-07-01,Official website,,Expand brand table in consolidation,Illustrative brand seed.,,SWRD_Highlands_v0_1_Batch6_QA.csv,Brand/Expression Seed,Research RC1
DIST-GRN-0005,Invergordon,Invergordon,Operating,Highlands,Grain,1961,Whyte & Mackay,Emperador Inc.,,,Cromarty Firth supply,0,0,0,Continuous,,,,,Steam,40000000,Grain whisky,No,No,No,https://www.whyteandmackay.com,,,5,,2,2026-07-01,,,Backfill coordinates,Highland grain distillery.,SWRD_Grain_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-GRN-0006,Loch Lomond Grain,Loch Lomond,Operating,Highlands,Grain,1964,Loch Lomond Group,Loch Lomond Group,,,Loch Lomond,0,0,0,Continuous,,,,,Steam,,Grain whisky,No,Yes,Yes,https://www.lochlomondwhiskies.com,,,4,,2,2026-07-01,,,Separate grain plant from malt in master model,Same site as malt distillery.,SWRD_Grain_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
