UniqueID,Distillery Name,Status,Region,FunctionalRegion,Type,Founded,Owner,Parent Company,Full Address,Postcode,Water Source,Wash Stills,Spirit Stills,Total Stills,Still Type,Washbacks,Washback Material,Mash Tun,Milling Equipment,Heating Method,Annual Capacity (LPA),Core Style,Peated,Visitor Centre,Tours,Website,Latitude,Longitude,EvidenceStrength,Confidence,LastVerified,ReleaseStatus,ResearchNeeded,Notes,SourceFile
DIST-HLD-0031,Glenglassaugh,Operating,Highlands,Highlands,Malt,1875,Brown-Forman,Brown-Forman,,,Glassaugh Burn,2,2,4,Traditional,,,,,Steam,1300000,"Coastal, fruity",Partial,Yes,Yes,https://www.glenglassaugh.com,,,,4,2026-07-01,Research RC1,Verify technical equipment,,SWRD_Highlands_v0_1_Batch5.csv
DIST-HLD-0014,Glenmorangie,Operating,Highlands,Highlands,Malt,1843,Glenmorangie Co.,LVMH,,,Tarlogie Springs,6,6,12,Traditional,,,,,Steam,6500000,"Elegant, citrus",No,Yes,Yes,https://www.glenmorangie.com,,,,5,2026-07-01,Research RC1,Confirm latest capacity,,SWRD_Highlands_v0_1_Batch2.csv
DIST-HLD-0032,Glenturret,Operating,Highlands,Highlands,Malt,1763,The Glenturret Ltd.,Lalique Group,,,Turret Burn,2,2,4,Traditional,,,,,Steam,1200000,"Rich, cereal",Partial,Yes,Yes,https://theglenturret.com,,,,5,2026-07-01,Research RC1,Verify current capacity,Oldest working distillery claim.,SWRD_Highlands_v0_1_Batch5.csv
DIST-GRN-0005,Invergordon,Operating,Highlands,Grain,Grain,1961,Whyte & Mackay,Emperador Inc.,,,Cromarty Firth supply,0,0,0,Continuous,,,,,Steam,40000000,Grain whisky,No,No,No,https://www.whyteandmackay.com,,,,5,2026-07-01,Research RC1,Backfill coordinates,Highland grain distillery.,SWRD_Grain_v0_1_Batch1.csv
DIST-HLD-0035,Lindores Abbey,Operating,Highlands,Highlands,Malt,2017,Lindores Abbey Distillery,Lindores Abbey Distillery,,,,2,2,4,Traditional,,,,,Steam,500000,"Malty, fruity",No,Yes,Yes,https://lindoresabbeydistillery.com,,,,4,2026-07-01,Research RC1,Review regional classification (Lowlands vs Highlands),Taxonomy review required.,SWRD_Highlands_v0_1_Batch5.csv
DIST-HLD-0015,Loch Lomond,Operating,Highlands,Highlands,Malt & Grain,1964,Loch Lomond Group,Loch Lomond Group,,,Loch Lomond,6,6,12,Traditional & Lomond,,,,,Steam,18000000,Versatile,Variable,Yes,Yes,https://www.lochlomondwhiskies.com,,,,4,2026-07-01,Research RC1,Separate malt/grain details later,Produces multiple brands.,SWRD_Highlands_v0_1_Batch2.csv
DIST-GRN-0006,Loch Lomond Grain,Operating,Highlands,Grain,Grain,1964,Loch Lomond Group,Loch Lomond Group,,,Loch Lomond,0,0,0,Continuous,,,,,Steam,,Grain whisky,No,Yes,Yes,https://www.lochlomondwhiskies.com,,,,4,2026-07-01,Research RC1,Separate grain plant from malt in master model,Same site as malt distillery.,SWRD_Grain_v0_1_Batch1.csv
DIST-HLD-0033,Lochlea,Operating,Highlands,Highlands,Malt,2018,Lochlea Distillery,Lochlea Distillery,,,,1,1,2,Traditional,,,,,Steam,200000,"Fresh, fruity",No,Yes,Yes,https://www.lochleadistillery.com,,,,4,2026-07-01,Research RC1,Review regional classification (Lowlands vs Highlands),Hold for taxonomy reconciliation.,SWRD_Highlands_v0_1_Batch5.csv
DIST-HLD-0029,Nc'nean,Operating,Highlands,Highlands,Malt,2017,Nc'nean Distillery,Nc'nean Distillery,,,Drimnin Burn,1,1,2,Traditional,,,,,Steam,450000,"Organic, fruity",No,Yes,Yes,https://ncnean.com,,,,5,2026-07-01,Research RC1,Verify latest capacity,Organic production.,SWRD_Highlands_v0_1_Batch4.csv
DIST-HLD-0016,Oban,Operating,Highlands,Highlands,Malt,1794,Diageo,Diageo,,,,2,2,4,Traditional,,,,,Steam,870000,"Maritime, fruity",No,Yes,Yes,https://www.malts.com,,,,5,2026-07-01,Research RC1,Verify technical data,,SWRD_Highlands_v0_1_Batch2.csv
DIST-HLD-0017,Pulteney,Operating,Highlands,Highlands,Malt,1826,International Beverage,International Beverage,,,,2,2,4,Traditional,,,,,Steam,1800000,"Maritime, briny",No,Yes,Yes,https://www.oldpulteney.com,,,,4,2026-07-01,Research RC1,Verify water source and coordinates,,SWRD_Highlands_v0_1_Batch3.csv
DIST-HLD-0018,Royal Brackla,Operating,Highlands,Highlands,Malt,1812,John Dewar & Sons,Bacardi,,,Cawdor Burn,3,3,6,Traditional,,,,,Steam,4100000,"Fruity, spicy",No,No,No,https://www.royalbrackla.com,,,,4,2026-07-01,Research RC1,Verify technical details,,SWRD_Highlands_v0_1_Batch3.csv
DIST-HLD-0019,Royal Lochnagar,Operating,Highlands,Highlands,Malt,1845,Diageo,Diageo,,,Scarnock Springs,2,2,4,Traditional,,,,,Steam,450000,"Delicate, nutty",No,Yes,Yes,https://www.malts.com,,,,4,2026-07-01,Research RC1,Verify production figures,,SWRD_Highlands_v0_1_Batch3.csv
DIST-HLD-0020,Teaninich,Operating,Highlands,Highlands,Malt,1817,Diageo,Diageo,,,Alness River,6,6,12,Traditional,,,,Mash filter,Steam,10300000,"Clean, grassy",No,No,No,https://www.malts.com,,,,4,2026-07-01,Research RC1,Confirm mash filter specification,,SWRD_Highlands_v0_1_Batch3.csv
DIST-HLD-0021,Tomatin,Operating,Highlands,Highlands,Malt,1897,Tomatin Distillery Co.,Takara Shuzo,,,Alt-na-Frith Burn,6,6,12,Traditional,,,,,Steam,5600000,"Soft, fruity",Partial,Yes,Yes,https://tomatin.com,,,,4,2026-07-01,Research RC1,Verify still count after latest upgrades,,SWRD_Highlands_v0_1_Batch3.csv
DIST-HLD-0024,Torabhaig,Operating,Highlands,Highlands,Malt,2017,Mossburn Distillers,Marussia Beverages,,,Allt Breacach,2,2,4,Traditional,,,,,Steam,500000,"Heavily peated, maritime",Yes,Yes,Yes,https://torabhaig.com,,,,4,2026-07-01,Research RC1,Region taxonomy review (Skye/Islands vs Highlands dataset planning),Held temporarily pending Islands separation.,SWRD_Highlands_v0_1_Batch3.csv
DIST-HLD-0022,Tullibardine,Operating,Highlands,Highlands,Malt,1949,Tullibardine Distillery Ltd.,Picard Vins & Spiritueux,,,Danny Burn,2,2,4,Traditional,,,,,Steam,2700000,"Malty, creamy",No,Yes,Yes,https://www.tullibardine.com,,,,4,2026-07-01,Research RC1,Verify production data,,SWRD_Highlands_v0_1_Batch3.csv
DIST-HLD-0030,Uile-bheist,Operating,Highlands,Highlands,Malt,2023,Uile-bheist Distillery & Brewery,Uile-bheist,,,,1,1,2,Traditional,,,,,Steam,,New make,Variable,Yes,Yes,https://www.uilebheist.com,,,,4,2026-07-01,Research RC1,Expand as production matures,Recently opened.,SWRD_Highlands_v0_1_Batch4.csv
DIST-HLD-0023,Wolfburn,Operating,Highlands,Highlands,Malt,2013,Wolfburn Distillery Ltd.,Wolfburn Distillery Ltd.,,,Burn of Wolf,1,1,2,Traditional,,,,,Steam,125000,"Light, coastal",No,Yes,Yes,https://wolfburn.com,,,,4,2026-07-01,Research RC1,Verify capacity and coordinates,,SWRD_Highlands_v0_1_Batch3.csv
DIST-ISD-0001,Arran,Operating,Islands,Islands,Malt,1995,Isle of Arran Distillers,Isle of Arran Distillers,,,Loch na Davie,2,2,4,Traditional,,,,,Steam,750000,"Fresh, fruity",No,Yes,Yes,https://www.arranwhisky.com,,,,5,2026-07-01,Research RC1,Verify technical equipment,Lochranza distillery.,SWRD_Islands_v0_1_Batch1.csv
DIST-ISD-0005,Highland Park,Operating,Islands,Islands,Malt,1798,Highland Park Distillery,Edrington,,,Cattie Maggie's Spring,2,2,4,Traditional,,,,,Steam,2500000,"Heather honey, lightly smoky",Partial,Yes,Yes,https://www.highlandparkwhisky.com,,,,5,2026-07-01,Research RC1,Verify equipment,Orkney.,SWRD_Islands_v0_1_Batch1.csv
DIST-ISL-0012,Lagg,Operating,Islands,Islands,Malt,2019,Isle of Arran Distillers,Isle of Arran Distillers,,,,2,2,4,Traditional,,,,,Steam,750000,Heavily peated,Yes,Yes,Yes,https://www.laggwhisky.com,,,,4,2026-07-01,Research RC1,Move to Islands master during reconciliation,Included temporarily for taxonomy review.,SWRD_Islay_v0_1_Batch2.csv
DIST-ISD-0002,Lagg,Operating,Islands,Islands,Malt,2019,Isle of Arran Distillers,Isle of Arran Distillers,,,,2,2,4,Traditional,,,,,Steam,750000,Heavily peated,Yes,Yes,Yes,https://www.laggwhisky.com,,,,5,2026-07-01,Research RC1,Backfill address,Moved from taxonomy review to Islands.,SWRD_Islands_v0_1_Batch1.csv
DIST-ISD-0006,Scapa,Operating,Islands,Islands,Malt,1885,Scapa Distillery,Pernod Ricard,,,Lingro Burn,1,1,2,Traditional,,,,,Steam,1000000,"Soft, orchard fruit",No,Yes,Yes,https://www.scapa.com,,,,5,2026-07-01,Research RC1,Verify capacity,Orkney.,SWRD_Islands_v0_1_Batch1.csv
DIST-ISD-0004,Talisker,Operating,Islands,Islands,Malt,1830,Diageo,Diageo,,,Cnoc nan Speireag,3,2,5,Traditional,,,,,Steam,3600000,"Maritime, peppery",Partial,Yes,Yes,https://www.malts.com,,,,5,2026-07-01,Research RC1,Verify latest visitor details,Isle of Skye.,SWRD_Islands_v0_1_Batch1.csv
DIST-ISD-0003,Torabhaig,Operating,Islands,Islands,Malt,2017,Mossburn Distillers,Marussia Beverages,,,Allt Breacach,2,2,4,Traditional,,,,,Steam,500000,"Maritime, smoky",Yes,Yes,Yes,https://torabhaig.com,,,,5,2026-07-01,Research RC1,Backfill coordinates,Moved from taxonomy review to Islands.,SWRD_Islands_v0_1_Batch1.csv
DIST-ISL-0001,Ardbeg,Operating,Islay,Islay,Malt,1815,The Ardbeg Distillery Ltd.,LVMH,,,Loch Uigeadail,2,2,4,Traditional,,,,,Steam,2400000,Heavily peated,Yes,Yes,Yes,https://www.ardbeg.com,,,,5,2026-07-01,Research RC1,Verify coordinates,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0002,Ardnahoe,Operating,Islay,Islay,Malt,2018,Hunter Laing,Hunter Laing,,,Loch Ardnahoe,2,2,4,Traditional,,,,,Steam,500000,Heavily peated,Yes,Yes,Yes,https://ardnahoedistillery.com,,,,4,2026-07-01,Research RC1,Verify capacity,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0003,Bowmore,Operating,Islay,Islay,Malt,1779,Beam Suntory,Suntory Global Spirits,,,River Laggan,2,2,4,Traditional,,,,,Steam,2200000,Balanced peat,Yes,Yes,Yes,https://www.bowmore.com,,,,5,2026-07-01,Research RC1,Verify equipment,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0004,Bruichladdich,Operating,Islay,Islay,Malt,1881,Bruichladdich Distillery Co.,Rémy Cointreau,,,Octomore Spring,4,4,8,Traditional,,,,,Steam,1500000,Unpeated / peated variants,Variable,Yes,Yes,https://www.bruichladdich.com,,,,5,2026-07-01,Research RC1,Separate Port Charlotte and Octomore in brand table,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0005,Bunnahabhain,Operating,Islay,Islay,Malt,1881,Distell,Heineken,,,Margadale Spring,2,2,4,Traditional,,,,,Steam,3000000,Mostly unpeated,Partial,Yes,Yes,https://www.bunnahabhain.com,,,,4,2026-07-01,Research RC1,Verify technical details,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0006,Caol Ila,Operating,Islay,Islay,Malt,1846,Diageo,Diageo,,,Loch nam Ban,3,3,6,Traditional,,,,,Steam,6500000,"Smoky, maritime",Yes,Yes,Yes,https://www.malts.com,,,,5,2026-07-01,Research RC1,Verify visitor data,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0013,Kilchiaran,Under Construction,Islay,Islay,Malt,2025,Macalister Hall & Co.,Macalister Hall & Co.,,,,,,,,,,,,,,Variable,Planned,Planned,https://machdistillery.com,,,3,,2,Official project | SWA,Research RC1,Project under development.,,SWRD_Islay_v0_1_Batch3.csv
DIST-ISL-0007,Kilchoman,Operating,Islay,Islay,Malt,2005,Kilchoman Distillery,Kilchoman Distillery,,,Allt Gleann Osamail,2,2,4,Traditional,,,,,Steam,500000,"Farm distillery, smoky",Yes,Yes,Yes,https://www.kilchomandistillery.com,,,,5,2026-07-01,Research RC1,Verify mash tun & washbacks,Farm-to-bottle producer.,SWRD_Islay_v0_1_Batch2.csv
DIST-ISL-0008,Lagavulin,Operating,Islay,Islay,Malt,1816,Diageo,Diageo,,,Loch Sholum,2,2,4,Traditional,,,,,Steam,2400000,"Rich, smoky",Yes,Yes,Yes,https://www.malts.com,,,,5,2026-07-01,Research RC1,Verify current capacity,,SWRD_Islay_v0_1_Batch2.csv
DIST-ISL-0019,Laggan Bay,Under Construction,Islay,Islay,Malt,2025,Laggan Bay Distillers,Laggan Bay Distillers,,,,,,,,,,,,,,Variable,Planned,Planned,,,,3,,1,Track commissioning and first spirit,Research RC1,Planned project record.,,SWRD_Islay_v0_1_Batch4.csv
DIST-ISL-0009,Laphroaig,Operating,Islay,Islay,Malt,1815,Beam Suntory,Suntory Global Spirits,,,Kilbride Stream,3,4,7,Traditional,,,,,Steam,3300000,"Medicinal, smoky",Yes,Yes,Yes,https://www.laphroaig.com,,,,5,2026-07-01,Research RC1,Verify still split,Friends of Laphroaig programme.,SWRD_Islay_v0_1_Batch2.csv
DIST-ISL-0010,Port Ellen,Operating,Islay,Islay,Malt,1825,Diageo,Diageo,,,Leorin Lochs,3,3,6,Traditional,,,,,Steam,,"Elegant, smoky",Yes,Yes,Yes,https://www.portellen.com,,,,4,2026-07-01,Research RC1,Verify reopened production capacity,Reopened in 2024.,SWRD_Islay_v0_1_Batch2.csv
DIST-ISL-0011,Portintruan,Operating,Islay,Islay,Malt,2024,Elixir Distillers,Elixir Distillers,,,,2,2,4,Traditional,,,,,Steam,,Heavily peated,Yes,Planned,Planned,https://elixirdistillers.com,,,,3,2026-07-01,Research RC1,New distillery - monitor production ramp-up,,SWRD_Islay_v0_1_Batch2.csv
DIST-LWD-0001,Auchentoshan,Operating,Lowlands,Lowlands,Malt,1823,Beam Suntory,Suntory Global Spirits,,,Cochna Burn,3,3,6,Triple distilled,,,,,Steam,1800000,"Light, citrus",No,Yes,Yes,https://www.auchentoshan.com,,,,5,2026-07-01,Research RC1,Backfill technical details,Triple-distilled style.,SWRD_Lowlands_v0_1_Batch1.csv
DIST-LWD-0002,Bladnoch,Operating,Lowlands,Lowlands,Malt,1817,Bladnoch Distillery,Bladnoch Distillery,,,River Bladnoch,2,2,4,Traditional,,,,,Steam,1500000,"Floral, grassy",No,Yes,Yes,https://www.bladnoch.com,,,,5,2026-07-01,Research RC1,Verify capacity,,SWRD_Lowlands_v0_1_Batch1.csv
DIST-GRN-0001,Cameronbridge,Operating,Lowlands,Grain,Grain,1824,Diageo,Diageo,,,River Leven,0,0,0,Continuous Coffey,,,,,Steam,140000000,Light grain,No,No,No,https://www.diageo.com,,,,5,2026-07-01,Research RC1,Backfill technical plant details,Scotland's largest grain distillery.,SWRD_Grain_v0_1_Batch1.csv
DIST-LWD-0003,Daftmill,Operating,Lowlands,Lowlands,Malt,2005,Daftmill Distillery,Cuthbert Family,,,Farm spring,1,1,2,Traditional,,,,,Steam,100000,Farm distillery,No,Limited,Limited,https://www.daftmill.com,,,,5,2026-07-01,Research RC1,Backfill visitor policy,Seasonal production.,SWRD_Lowlands_v0_1_Batch1.csv
DIST-GRN-0002,Girvan,Operating,Lowlands,Grain,Grain,1963,William Grant & Sons,William Grant & Sons,,,Reservoir supply,0,0,0,Continuous,,,,,Steam,110000000,Clean grain,No,No,No,https://www.grants.com,,,,5,2026-07-01,Research RC1,Backfill plant configuration,Integrated grain complex.,SWRD_Grain_v0_1_Batch1.csv
DIST-LWD-0004,Kingsbarns,Operating,Lowlands,Lowlands,Malt,2014,Kingsbarns Distillery,Wemyss Family Spirits,,,Aquifer,2,2,4,Traditional,,,,,Steam,500000,"Fruity, elegant",No,Yes,Yes,https://www.kingsbarnsdistillery.com,,,,5,2026-07-01,Research RC1,Verify washback count,,SWRD_Lowlands_v0_1_Batch1.csv
DIST-LWD-0005,Lindores Abbey,Operating,Lowlands,Lowlands,Malt,2017,Lindores Abbey Distillery,Lindores Abbey Distillery,,,Well water,2,2,4,Traditional,,,,,Steam,500000,"Malty, orchard fruit",No,Yes,Yes,https://lindoresabbeydistillery.com,,,,5,2026-07-01,Research RC1,Moved from taxonomy review,Permanent Lowlands classification.,SWRD_Lowlands_v0_1_Batch1.csv
DIST-LWD-0006,Lochlea,Operating,Lowlands,Lowlands,Malt,2018,Lochlea Distillery,Lochlea Distillery,,,Estate water,1,1,2,Traditional,,,,,Steam,200000,"Cereal, fruit-forward",No,Yes,Yes,https://www.lochleadistillery.com,,,,5,2026-07-01,Research RC1,Moved from taxonomy review,Permanent Lowlands classification.,SWRD_Lowlands_v0_1_Batch1.csv
DIST-GRN-0003,North British,Operating,Lowlands,Grain,Grain,1885,North British Distillery Co.,Diageo & Edrington,,,Municipal supply,0,0,0,Continuous,,,,,Steam,70000000,Blended whisky grain,No,No,No,https://www.northbritish.co.uk,,,,5,2026-07-01,Research RC1,Verify ownership wording,Joint venture.,SWRD_Grain_v0_1_Batch1.csv
