UniqueID,Distillery Name,Status,Region,FunctionalRegion,Type,Founded,Owner,Parent Company,Full Address,Postcode,Water Source,Wash Stills,Spirit Stills,Total Stills,Still Type,Washbacks,Washback Material,Mash Tun,Milling Equipment,Heating Method,Annual Capacity (LPA),Core Style,Peated,Visitor Centre,Tours,Website,Latitude,Longitude,EvidenceStrength,Confidence,LastVerified,ReleaseStatus,ResearchNeeded,Notes,SourceFile
DIST-SPY-0017,Dalmunach,Operating,Speyside,Speyside,Malt,2015,Chivas Brothers,Pernod Ricard,,,River Spey,8,8,16,Traditional copper pot stills,,,,,Steam,10000000,"Modern, fruity",No,No,No,,,,,3,2026-07-01,Research RC1,Verify production data,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0018,Dufftown,Operating,Speyside,Speyside,Malt,1896,Diageo,Diageo,,,Jock's Well,2,2,4,Traditional copper pot stills,,,,,Steam,6000000,"Nutty, cereal",No,No,No,https://www.malts.com,,,,4,2026-07-01,Research RC1,Verify technical data,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0051,Dunphail,Operating,Speyside,Speyside,Malt,2023,Bimber Distillery Co.,Bimber Distillery Co.,"Dunphail, Moray, Scotland",,,,,,Traditional copper pot stills,,,,,,,,Variable,No,No,https://www.dunphaildistillery.com,,,,4,2026-07-01,Research RC1,Confirm full technical and visitor data,Added from SWA April 2026 operating list.,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0020,Glen Elgin,Operating,Speyside,Speyside,Malt,1898,Diageo,Diageo,,,Millbuies Loch,3,3,6,Traditional copper pot stills,,,,,Steam,1800000,"Sweet, fruity",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Verify technical data,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0021,Glen Grant,Operating,Speyside,Speyside,Malt,1840,Campari Group,Campari Group,,,Caperdonich Well,5,5,10,Traditional copper pot stills,,,,,Steam,6000000,"Fresh, orchard fruit",No,Yes,Yes,https://www.glengrant.com,,,,4,2026-07-01,Research RC1,Verify capacity,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0022,Glen Keith,Operating,Speyside,Speyside,Malt,1957,Chivas Brothers,Pernod Ricard,,,River Isla,3,3,6,Traditional copper pot stills,,,,,Steam,6000000,"Light, floral",No,No,No,,,,,3,2026-07-01,Research RC1,Verify current technical data,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0023,Glen Moray,Operating,Speyside,Speyside,Malt,1897,La Martiniquaise-Bardinet,La Martiniquaise-Bardinet,,,River Lossie,3,3,6,Traditional copper pot stills,,,,,Steam,6500000,"Vanilla, citrus",No,Yes,Yes,https://www.glenmoray.com,,,,4,2026-07-01,Research RC1,Verify capacity,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0024,Glen Spey,Operating,Speyside,Speyside,Malt,1878,Diageo,Diageo,,,,2,2,4,Traditional copper pot stills,,,,,Steam,1400000,"Light, grassy",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Verify water source,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0019,GlenAllachie,Operating,Speyside,Speyside,Malt,1967,The GlenAllachie Distillers Co.,The GlenAllachie Distillers Co.,,,,2,2,4,Traditional copper pot stills,,,,,Steam,4200000,"Honeyed, rich",Partial,Yes,Yes,https://theglenallachie.com,,,,4,2026-07-01,Research RC1,Verify full equipment list,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0025,Glenburgie,Operating,Speyside,Speyside,Malt,1810,Chivas Brothers,Pernod Ricard,,,,3,3,6,Traditional copper pot stills,,,,,Steam,4200000,"Elegant, fruity",No,No,No,,,,,3,2026-07-01,Research RC1,Verify primary technical data,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0026,Glendullan,Operating,Speyside,Speyside,Malt,1897,Diageo,Diageo,,,,3,3,6,Traditional copper pot stills,,,,,Steam,5200000,"Fresh, malty",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Verify production details,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0027,Glenfarclas,Operating,Speyside,Speyside,Malt,1836,J. & G. Grant,J. & G. Grant,,,Ben Rinnes springs,3,3,6,Traditional copper pot stills,,,,,Direct Fired / Steam,3500000,Sherried,Partial,Yes,Yes,https://www.glenfarclas.com,,,,4,2026-07-01,Research RC1,Confirm current heating method split,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0028,Glenfiddich,Operating,Speyside,Speyside,Malt,1886,William Grant & Sons,William Grant & Sons,"The Glenfiddich Distillery, Dufftown, Banffshire, Scotland",AB55 4DH,Robbie Dhu springs,,,43,Traditional copper pot stills,,,,,Steam,21000000,"Fruity, orchard fruit, vanilla",No,Yes,Yes,https://www.glenfiddich.com/distillery,,,,4,2026-07-01,Research RC1,Confirm wash/spirit split from primary source,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0030,Glenlossie,Operating,Speyside,Speyside,Malt,1876,Diageo,Diageo,,,,3,3,6,Traditional copper pot stills,,,,,Steam,3700000,"Light, grassy, fruity",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Verify all technical details,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0032,Glentauchers,Operating,Speyside,Speyside,Malt,1897,Chivas Brothers,Pernod Ricard,,,,3,3,6,Traditional copper pot stills,,,,,Steam,4200000,"Light, malty, fruity",No,No,No,,,,,3,2026-07-01,Research RC1,Verify technical details and full address,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0033,Inchgower,Operating,Speyside,Speyside,Malt,1871,Diageo,Diageo,,,,1,1,2,Traditional copper pot stills,,,,,Steam,3200000,"Coastal, nutty, spicy",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Confirm final regional taxonomy,Often listed as Speyside despite coastal location near Buckie.,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0034,Kininvie,Operating,Speyside,Speyside,Malt,1990,William Grant & Sons,William Grant & Sons,,,,3,3,6,Traditional copper pot stills,,,,,Steam,4800000,"Light, sweet, floral",No,No,No,,,,,3,2026-07-01,Research RC1,Verify public technical details and operating status,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0035,Knockando,Operating,Speyside,Speyside,Malt,1898,Diageo,Diageo,,,,2,2,4,Traditional copper pot stills,,,,,Steam,1500000,"Soft, nutty, fruity",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Verify water source and equipment,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0036,Linkwood,Operating,Speyside,Speyside,Malt,1821,Diageo,Diageo,,,,3,3,6,Traditional copper pot stills,,,,,Steam,5600000,"Floral, grassy, fruity",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Verify current production specifications,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0037,Longmorn,Operating,Speyside,Speyside,Malt,1894,Chivas Brothers,Pernod Ricard,,,,4,4,8,Traditional copper pot stills,,,,,Steam,4500000,"Rich, fruity, honeyed",No,No,No,https://www.longmorn.com,,,,3,2026-07-01,Research RC1,Verify capacity and technical specifications,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0039,Mannochmore,Operating,Speyside,Speyside,Malt,1971,Diageo,Diageo,,,,4,4,8,Traditional copper pot stills,,,,,Steam,4500000,"Light, dry, malty",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Verify production specifications and full address,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0040,Miltonduff,Operating,Speyside,Speyside,Malt,1824,Chivas Brothers,Pernod Ricard,,,,3,3,6,Traditional copper pot stills,,,,,Steam,5700000,"Elegant, fruity",No,No,No,,,,,3,2026-07-01,Research RC1,Verify technical specifications,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0041,Mortlach,Operating,Speyside,Speyside,Malt,1823,Diageo,Diageo,,,Dorie's Well,3,3,6,Traditional copper pot stills; 2.81 distillation regime,,,,,Steam,3900000,"Meaty, rich",No,Yes,Yes,https://www.malts.com,,,,4,2026-07-01,Research RC1,Verify current washback count,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0042,Roseisle,Operating,Speyside,Speyside,Malt,2010,Diageo,Diageo,,,,7,7,14,Traditional copper pot stills,,,,,Steam,10000000,"Clean, modern",Variable,No,No,,,,,3,2026-07-01,Research RC1,Verify public visitor information and technical data,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0043,Speyburn,Operating,Speyside,Speyside,Malt,1897,Inver House Distillers,International Beverage,,,Granty Burn,2,2,4,Traditional copper pot stills,,,,,Steam,4100000,"Fresh, citrus",No,Yes,Yes,https://www.speyburn.com,,,,4,2026-07-01,Research RC1,Verify coordinates,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0045,Strathisla,Operating,Speyside,Speyside,Malt,1786,Chivas Brothers,Pernod Ricard,,,Fons Bulliens,2,2,4,Traditional copper pot stills,,,,,Steam,2450000,"Rich, fruity",No,Yes,Yes,https://www.chivas.com,,,,4,2026-07-01,Research RC1,Verify production equipment,Home of Chivas Regal.,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0046,Strathmill,Operating,Speyside,Speyside,Malt,1891,Diageo,Diageo,,,,2,2,4,Traditional copper pot stills,,,,,Steam,2700000,"Light, grassy",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Verify technical data,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0047,Tamdhu,Operating,Speyside,Speyside,Malt,1897,Ian Macleod Distillers,Ian Macleod Distillers,,,Tamdhu Burn,3,3,6,Traditional copper pot stills,,,,,Steam,4000000,Sherried,No,Yes,Yes,https://www.tamdhu.com,,,,4,2026-07-01,Research RC1,Verify washbacks,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0048,Tamnavulin,Operating,Speyside,Speyside,Malt,1966,Whyte & Mackay,Emperador Inc.,,,Livet Water,3,3,6,Traditional copper pot stills,,,,,Steam,4000000,"Soft, sweet",No,No,No,https://www.tamnavulin.com,,,,4,2026-07-01,Research RC1,Verify capacity,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0007,The Balvenie,Operating,Speyside,Speyside,Malt,1892,William Grant & Sons,William Grant & Sons,,,Robbie Dhu springs,5,6,11,Traditional copper pot stills,,,,,Steam,7000000,"Honeyed, malty, rich",No,Yes,Yes,https://www.thebalvenie.com,,,,4,2026-07-01,Research RC1,Verify current still split and visitor details,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0052,The Cabrach,Operating,Speyside,Speyside,Malt,2024,The Cabrach Trust,The Cabrach Trust,"Inverharroch, Cabrach, Moray, Scotland",,,,,,Traditional copper pot stills,,,,,,,,No,Yes,Yes,https://www.thecabrachtrust.org,,,,3,2026-07-01,Research RC1,Confirm final region taxonomy and status,SWA April 2026 includes The Cabrach Distillery; region assignment to Speyside needs final confirmation.,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0012,The Cairn,Operating,Speyside,Speyside,Malt,2022,The Gordon & MacPhail Distillery Co.,Gordon & MacPhail,,,,,,,,,,,,,,,,No,Yes,Yes,https://www.thecairndistillery.com,,,,2,Research RC1,https://www.thecairndistillery.com | https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,New distillery; confirm full production specifications,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0029,The Glenlivet,Operating,Speyside,Speyside,Malt,1824,Chivas Brothers,Pernod Ricard,"The Glenlivet Distillery, Ballindalloch, Banffshire, Scotland",AB37 9DB,Josie's Well; Blairfindy Well,7,7,14,Traditional copper pot stills,,,,,Steam,10500000,"Floral, fruity, smooth",No,Yes,Yes,https://www.theglenlivet.com/en-gb/,,,,4,2026-07-01,Research RC1,Verify full production equipment details,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0031,The Glenrothes,Operating,Speyside,Speyside,Malt,1879,The Edrington Group,The Edrington Group,,,,5,5,10,Traditional copper pot stills,,,,,Steam,5600000,"Sherried, fruity, spicy",No,Yes,Yes,https://www.theglenrothes.com,,,,3,2026-07-01,Research RC1,Verify current visitor/tour status and capacity,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0038,The Macallan,Operating,Speyside,Speyside,Malt,1824,The Macallan Distillers Ltd,The Edrington Group,"The Macallan Distillery Experience, The Macallan Distillers Ltd, Easter Elchies, Craigellachie, Scotland",AB38 9RX,,12,24,36,Traditional copper pot stills,,,,,Steam,15000000,"Rich, sherried, dried fruit, spice",No,Yes,Yes,https://www.themacallan.com/en/experience-the-macallan/distillery,,,,4,2026-07-01,Research RC1,Confirm current still count and capacity from owner technical publication,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0044,The Speyside Distillery,Operating,Speyside,Speyside,Malt,1990,Speyside Distillers Co.,Harvey's of Edinburgh,,,,2,2,4,Traditional copper pot stills,,,,,Steam,,"Light, fruity",No,No,No,https://speysidedistillery.co.uk,,,,4,2026-07-01,Research RC1,Confirm latest operating/production status before v1.0,SWA April 2026 list includes Speyside as current operating.,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0049,Tomintoul,Operating,Speyside,Speyside,Malt,1964,Angus Dundee,Angus Dundee,,,Ballantruan Spring,2,2,4,Traditional copper pot stills,,,,,Steam,3300000,"Light, floral",No,Yes,Yes,https://www.tomintoulwhisky.com,,,,4,2026-07-01,Research RC1,Verify coordinates,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0050,Tormore,Operating,Speyside,Speyside,Malt,1958,Elixir Distillers,Elixir Distillers,,,Achvochkie Burn,4,4,8,Traditional copper pot stills,,,,,Steam,4800000,"Fruity, malty",No,No,No,https://www.tormoredistillery.com,,,,4,2026-07-01,Research RC1,Verify latest ownership details,,SWRD_Speyside_v0_1_distilleries_raw.csv
